City,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored.3c,Stressed.3c,Free.3c,Optimistic.3c,Peaceful.3c,Lonely.3c,Disappointed.3c,Frustrated.3c,Threatened.3c,Before covid,During covid,Bored.3e,Stressed.3e,Excited.3e,Hopeful.3e,Peaceful.3e,Lonely.3e,Vulnerable.3e,Disappointed.3e,Anxious.3e,Mask mandate.2020,Lockdown.2020,Closing Workplace/University.2020,Vaccination pass.2020,Social distancing.2020,Quarantine.2020,Mask mandate.2021,Lockdown.2021,Closing Workplace/University.2021,Vaccination pass.2021,Social distancing.2021,Quarantine.2021,Proud.4c,Optimistic.4c,Indifferent.4c,Vulnerable.4c,Disappointed.4c,Hostile.4c,Threatened.4c,Anxious.4c,Free.4c,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed.5b,Optimistic.5b,Peaceful.5b,Lonely.5b,Vulnerable.5b,Disappointed.5b,Frustrated.5b,Anxious.5b,Threatened.5b,What were the priorities in your life *before* COVID-19?.1,What were the priorities in your life *before* COVID-19?.2,What were the priorities in your life *before* COVID-19?.3,What were the priorities in your life *before* COVID-19?.4,What were the priorities in your life *before* COVID-19?.5,What were the priorities in your life *before* COVID-19?.6,What were the priorities in your life *during* COVID-19?.1,What were the priorities in your life *during* COVID-19?.2,What were the priorities in your life *during* COVID-19?.3,What were the priorities in your life *during* COVID-19?.4,What were the priorities in your life *during* COVID-19?.5,What were the priorities in your life *during* COVID-19?.6,What is your main source of income?,Bored.6b,Stressed.6b,Free.6b,Proud.6b,Optimistic.6b,Lonely.6b,Disappointed.6b,Frustrated.6b,Anxious.6b,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free.7c,Aggressive.7c,Frustrated.7c,Disappointed.7c,Vulnerable.7c,Lonely.7c,Optimistic.7c,Enthusiastic.7c,Stressed.7c,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people).1,"Going to public places (cinemas, theaters, restaurants, gym).1",Taking public transportation.1,Going to a crowded event outdoors.1,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
New York,Study,Family,,,,,,3,,,Free,Optimistic,Peaceful,,,,,Weekly,Monthly,,,,,Peaceful,,,,,5,4,5,5,5,5,5,2,4,5,5,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Relationships,Family,Career & Finances,Mental health,Physical health,Spirituality,Physical health,Family,Mental health,Relationships,Spirituality,Career & Finances,Family,,,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,2,2,1,5,4,3,2,4,,Engineering and Technology,Male,24-30,I come from abroad,Asian,Stressed
New York,Both,Family,,,,,,2,Bored,,,,Peaceful,,,Frustrated,,Weekly,Monthly,Bored,,,,,Lonely,,Disappointed,,5,4,5,5,4,4,5,2,3,5,2,3,,,,,Disappointed,,Threatened,Anxious,,,,,"Yes, in 2022",,,Peaceful,,,,,,,Relationships,Career & Finances,Family,Mental health,Spirituality,Physical health,Career & Finances,Mental health,Family,Physical health,Relationships,Spirituality,Job,Bored,,,,,Lonely,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,4,4,4,4,,Engineering and Technology,Female,24-30,I'm from somewhere else in the US,Asian,Frustrated
New York,Work,,,,Roommates,,,2,,Stressed,Free,,Peaceful,,,,,Weekly,Weekly,Bored,,,,,Lonely,,,Anxious,5,4,5,5,5,5,5,2,4,5,5,3,,,,,Disappointed,Hostile,,,,,"Yes, in 2020",,,,,,,Vulnerable,Disappointed,,Anxious,,Career & Finances,Mental health,Physical health,Spirituality,Relationships,Family,Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,Frustrated,,,,,,Stressed,"No, it didn't change",,3,2,3,3,5,5,5,5,8,Information Technology,,Male,30-40,I come from abroad,Asian,Distant
New York,Work,,,Pets,,,,,Bored,,,,Peaceful,,,,,Weekly,Weekly,,,,,,Lonely,,,,5,,2,4,4,4,4,,1,4,4,2,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Physical health,Career & Finances,Relationships,Family,Mental health,Spirituality,Physical health,Relationships,Family,Mental health,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Business owner,1,,,,,,,,,Stressed,"No, it didn't change",,4,2,2,2,5,3,4,3,5,Food & Consumer Goods,,Male,40-50,I'm from New York State,White,Frustrated
New York,Work,,,,,,Alone,,,,,,,,,,,Weekly,Daily,,,,,,Lonely,,Disappointed,,5,,3,4,4,4,5,,2,4,4,3,,,,,,,Threatened,,,No,,,,,,,,,,,,,Relationships,Physical health,Family,Mental health,Spirituality,Career & Finances,Physical health,Relationships,Family,Mental health,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,Vulnerable,,,,Stressed,"No, it didn't change",,4,3,3,3,5,5,5,5,6,Food & Consumer Goods,,Male,30-40,I'm from New York State,White,Optimistic
New York,Work,Family,,,,,,1,,,,,,,,Frustrated,,Daily,Daily,,,,Hopeful,,,,,Anxious,4,4,4,4,4,4,3,3,3,4,3,3,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,Relationships,Mental health,Family,Career & Finances,Physical health,Spirituality,Career & Finances,Mental health,Relationships,Physical health,Family,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,,,,Stressed,"Yes, I quit my job",Financial reasons,3,3,4,4,4,3,4,5,8,Information Technology,,Male,30-40,I'm from somewhere else in the US,White,Anxious
Milan,Work,,,,Roommates,,,2,Bored,,,,,,,,,Daily,Weekly,,,,,,,,Disappointed,,4,1,3,4,5,1,4,2,3,2,5,1,,,,,,,,,Free,No,,,,,,,,,,,,,Career & Finances,Family,Spirituality,Physical health,Mental health,Relationships,Physical health,Family,Mental health,Career & Finances,Spirituality,Relationships,,,,,,,,,,,,,,,,,,,,Self - employed,0,,,,,,,Optimistic,,,"Yes, my contract ended",I wanted to work remotely,5,4,3,2,5,5,5,5,9,Financials,,Female,24-30,I come from abroad,Asian,Distant
New York,Work,Family,,,,,,1,Bored,,,,Peaceful,,,Frustrated,,Daily,Daily,,,,,,Lonely,,Disappointed,Anxious,5,5,5,4,4,5,5,4,4,5,3,4,,,,,Disappointed,Hostile,,Anxious,,,,,"Yes, in 2022",,,,,,Disappointed,,,,Career & Finances,Family,Mental health,Relationships,Physical health,Spirituality,Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,Vulnerable,,,,Stressed,"Yes, I quit my job",Change in personal interests,5,5,5,3,5,5,5,3,7,Information Technology,,Female,24-30,I come from abroad,Other / I prefer not to answer,Lonely
New York,Both,Family,,,,,,4,,,,Optimistic,,,,,,Daily,Daily,,,,Hopeful,,,,,,5,3,4,5,5,5,4,3,4,5,5,5,,,,,,,,,Free,No,,,,,,,,,,,,,Spirituality,Family,Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Job,,,,,Optimistic,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,,5,5,3,2,4,4,2,1,3,,Engineering and Technology,Female,24-30,I'm from New York State,Other / I prefer not to answer,Vulnerable
New York,Work,,,,,,Alone,,,,,,,,,,,Daily,Daily,Bored,,,,Peaceful,,Vulnerable,,,5,5,5,1,5,5,5,1,1,5,3,1,,,Indifferent,,,Hostile,,Anxious,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,,,,Vulnerable,,Frustrated,,,Career & Finances,Family,Relationships,Mental health,Spirituality,Physical health,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,Aggressive,Frustrated,,,,,,,Other / I prefer not to answer,,3,1,1,1,5,4,3,5,7,Health Care,,Male,30-40,I come from abroad,Other / I prefer not to answer,Distant
